"2022-07-31 22:04:59 [restartedMain] INFO  c.c.c.CalculateNetworthApplication - Starting CalculateNetworthApplication using Java 1.8.0_341 on DESKTOP-GGLVG3U with PID 1924 (C:\Users\Suraj Enterpries\Desktop\Portfolio project\portfolio_BE\CalculateNetworth\target\classes started by Suraj Enterpries in C:\Users\Suraj Enterpries\Desktop\Portfolio project\portfolio_BE\CalculateNetworth)
""2022-07-31 22:05:10 [restartedMain] WARN  o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
""2022-07-31 22:05:13 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
""2022-07-31 22:05:14 [restartedMain] INFO  c.c.c.CalculateNetworthApplication - Started CalculateNetworthApplication in 16.449 seconds (JVM running for 18.787)
""2022-07-31 22:08:11 [http-nio-8084-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2022-07-31 22:08:11 [http-nio-8084-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
""2022-07-31 22:08:11 [http-nio-8084-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 234 ms
""2022-07-31 22:08:12 [http-nio-8084-exec-3] INFO  c.c.c.controller.NetworthController - finding portfolio by id...
""2022-07-31 22:08:12 [http-nio-8084-exec-5] INFO  c.c.c.controller.NetworthController - calculating networth....
""2022-07-31 22:09:27 [http-nio-8084-exec-8] INFO  c.c.c.controller.NetworthController - finding portfolio by id...
""2022-07-31 22:09:27 [http-nio-8084-exec-7] INFO  c.c.c.controller.NetworthController - calculating networth....
""2022-07-31 22:10:11 [http-nio-8084-exec-1] INFO  c.c.c.controller.NetworthController - finding portfolio by id...
""2022-07-31 22:10:54 [http-nio-8084-exec-3] INFO  c.c.c.controller.NetworthController - selling started...
""2022-07-31 22:10:55 [http-nio-8084-exec-3] INFO  c.c.c.controller.NetworthController - Having Problem in selling....
""2022-07-31 22:10:55 [http-nio-8084-exec-3] INFO  c.c.c.controller.NetworthController - .............2
""2022-07-31 22:10:55 [http-nio-8084-exec-4] INFO  c.c.c.controller.NetworthController - finding portfolio by id...
""2022-07-31 22:33:47 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2022-07-31 22:33:48 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2022-07-31 22:33:48 [RMI TCP Connection(2)-127.0.0.1] WARN  o.s.b.f.s.DisposableBeanAdapter - Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
""2022-07-31 22:33:48 [RMI TCP Connection(2)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2022-07-31 22:33:48 [RMI TCP Connection(2)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
"
